time="2021-03-30 22:45:09" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=86 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="0 ms" status=200
time="2021-03-30 22:45:44" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=86 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="0 ms" status=200
time="2021-03-30 22:45:45" level=warning Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=0 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/favicon.ico SpendTime="0 ms" status=404
time="2021-03-30 22:45:58" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=86 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="0 ms" status=200
time="2021-03-30 22:46:17" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=86 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="1 ms" status=200
time="2021-03-30 22:49:09" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=1708 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path="/weather?city=%E4%B8%8A%E6%B5%B7" SpendTime="112 ms" status=200
time="2021-03-30 22:49:23" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=1708 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path="/weather?city=%E4%B8%8A%E6%B5%B7" SpendTime="30 ms" status=200
time="2021-03-30 22:49:47" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=1742 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path="/weather?city=%E4%B8%8A%E6%B5%B7,%E4%B8%8A%E6%B5%B7,%E6%9D%BE%E6%B1%9F" SpendTime="201 ms" status=200
time="2021-03-30 22:50:56" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:52:07" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=4005 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="5 ms" status=200
time="2021-03-30 22:52:12" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=4005 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:52:20" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=4005 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:52:42" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="11 ms" status=200
time="2021-03-30 22:52:49" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="1 ms" status=200
time="2021-03-30 22:53:26" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:53:33" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:53:34" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="1 ms" status=200
time="2021-03-30 22:53:35" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:56:35" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5342 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="8 ms" status=200
time="2021-03-30 22:56:37" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5342 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:56:38" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5342 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 23:03:15" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="8 ms" status=200
time="2021-03-30 23:03:31" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=4038 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="7 ms" status=200
time="2021-03-30 23:03:36" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63" DataSize=4038 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="1 ms" status=200
time="2021-03-30 23:06:18" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=4038 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="10 ms" status=200
time="2021-03-30 23:06:38" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=237 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path="/citylist?city=%E4%B8%8A%E6%B5%B7" SpendTime="0 ms" status=200
time="2021-03-30 23:07:18" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=204 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path="/citylist?city=%E4%B8%8A%E6%B5%B7" SpendTime="8 ms" status=200
